no,word,created_at,updated_at,use,example,part_of_speech,pronunciation,mean
5659,숨바꼭질을 하다,2024-01-04 19:04:00,,Y,,,,
5660,딱지치기를 하다,2024-01-04 19:04:00,,Y,,,,
5661,공기놀이를 하다,2024-01-04 19:04:00,,Y,,,,
5662,찰흙놀이를 하다,2024-01-04 19:04:00,,Y,,,,
5663,아침,2024-01-04 19:04:00,,Y,"[[""나는 아침에 커피를 한 잔 마시고 출근 준비를 한다."",""아침마다 타는 버스에는 항상 등교하는 학생들이 가득 차 있다."",""아침에 운동을 하면 해가 떠오르는 것도 볼 수 있고 상쾌한 아침 공기도 마실 수 있어서 좋다.""],[""내 동생은 아침은 굶고 하루에 점심, 저녁 두 끼만 먹는다."",""나는 빵으로 간단하게 아침을 먹은 뒤 하루 일을 시작한다."",""바쁘게 출근 준비를 하다 보면 아침을 거르게 되는 경우가 많다.""]]",명사,[아침],"[""날이 밝아올 때부터 해가 떠올라 하루의 일이 시작될 때쯤까지의 시간."",""아침에 먹는 밥.""]"
5653,만들다,2024-01-04 19:04:00,,Y,"[[""사람들은 포도로 술을 만들어 마신다."",""옛날에는 흙으로 만든 그릇을 사용했다."",""로봇을 만들면 인간 생활이 더 편리해질 것이다."",""영수는 점심으로 간단하게 먹을 수 있는 햄버거를 만들었다.""],[""잡지사는 여자들이 즐겨 보는 패션 잡지를 만들어 팔았다."",""출판사에는 디자인을 하고 편집을 하면서 책을 만드는 사람들이 모여 있다."",""회사는 제품을 홍보하기 위해 물건의 사진과 설명이 들어 있는 책자를 만들었다.""],[""사람에 대한 믿음이 있어야 좋은 사회를 만들 수 있다."",""그 수영 선수는 열심히 노력한 끝에 새로운 기록을 만들었다."",""너무 밝지도 어둡지도 않은 불빛이 부드럽고 편안한 분위기를 만든다.""],[""요즘에는 스스로 만든 노래를 부르는 가수가 많다."",""김 대리는 회의 시간에 쓸 서류를 만드느라 바빴다."",""시인은 여러 나라를 여행하면서 새로운 시들을 만들어 냈다.""],[""사람들은 질서 있는 사회를 위해 법을 만들고 이를 지킨다."",""회원들은 서로 자신의 이익을 지키기 위해 규율을 만들었다."",""이웃 나라는 아동을 보호하는 법안을 만들어 시행하고 있다.""],[""국어를 연구하는 사람들이 모여 한글 연구회를 만들었다."",""나는 소비자를 보호하는 시민 단체를 만들어 활동하고 있다."",""연주는 선배들이 만든 책 읽는 모임에 한 달에 한 번 참석하고 있다.""],[""나는 집 살 돈을 만들기 위해 열심히 일하고 있다."",""정부는 만 개의 새로운 일자리를 만들겠다고 약속했다."",""남편은 일이 없는 날이면 여기저기 다니며 일거리를 만드는 성격이다.""],[""남편은 일부러 시간을 만들어 아이들과 같이 놀아 주었다."",""애써 만든 시간을 쓸데없는 일로 시간 낭비하고 싶지 않다."",""바쁜 아들이 모처럼 시간을 만들어서 고향에 계신 부모님을 찾았다."",""다들 바쁘시겠지만 짬을 만들어 반드시 모임에 참석해 주시기 바랍니다.""],[""아들이 장난감으로 필름에 흠을 만들어 놨다."",""남자는 실수로 자동차를 긁어 흠집을 만들었다.""],[""남자는 핑계를 만들어서 회의에 참석하지 않으려고 했다."",""동생은 가끔 쓸데없는 일을 만들어서 사람을 피곤하게 했다.""],[""김 감독은 사랑을 주제로 한 영화를 주로 만든다."",""이 선생이 만든 연극은 사람들에게 큰 인기를 끌었다.""],[""비빔밥을 세계적인 식품으로 만드는 것이 나의 꿈이다."",""김 대표는 우리 지역의 축제를 나라의 중요한 행사로 만들었다."",""생각 없이 종일 게임만 하는 것은 사람을 바보로 만드는 행동이다.""],[""여자는 아들을 잘 키워 훌륭한 사회인으로 만들었다."",""딸을 의사로 만든 아버지는 늘 딸을 자랑스러워했다."",""나는 아이를 책임감 있는 사람으로 만들기 위해 노력하였다.""],[""우유는 뼈를 튼튼하게 만든다."",""남자의 꿈을 포기하도록 만든 것은 가난한 현실이었다."",""대중문화의 발전은 국가와 국민 간의 관계를 새롭게 만들었다."",""스피커에서 나오는 음악 소리가 사람의 기분을 이상하게 만드는 것 같았다.""]]",동사,[만들다],"[""힘과 기술을 써서 없던 것을 생기게 하다."",""글을 쓰거나 정리하여 한 권으로 묶다."",""새로운 상태를 이루다."",""글이나 노래를 새로 짓다."",""법이나 규칙 등을 정하다."",""기관이나 단체를 조직하다."",""돈이나 일을 마련하다."",""시간 등을 억지로 생기게 하다."",""상처 등을 생기게 하다."",""말썽이나 일 등을 일으키거나 꾸미다."",""영화나 연극 등을 새로 완성하여 내다."",""무엇을 무엇이 되게 하다."",""사람을 키워 무엇이 되게 하다."",""사람이나 사물, 현상 등을 어떻게 변화시키다.""]"
5654,종이접기를 하다,2024-01-04 19:04:00,,Y,,,,
5668,방과 후,2024-01-04 19:04:00,,Y,,,,
5669,월요일,2024-01-04 19:04:00,,Y,"[[""어느새 주말이 지나고 월요일이 돌아왔다."",""월요일 아침이 되자 지하철은 출근하는 직장인들로 꽉 찼다.""]]",명사,[워료일],"[""한 주가 시작되는 첫 날.""]"
5670,화요일,2024-01-04 19:04:00,,Y,"[[""나는 다음 주 화요일이 아내 생일이라는 것이 생각났다."",""나는 월요일과 화요일은 업무가 많아 거의 야근을 하는 편이다.""]]",명사,[화요일],"[""월요일을 기준으로 한 주의 둘째 날.""]"
